start_lat,start_lon,end_lat,end_lon,distance_km,num_passengers,time_of_day,day_of_week,holiday_indicator,demand_supply_ratio,real_time_demand,driver_availability,surge_multiplier,traffic_delay_minutes,temperature_celsius,humidity,visibility,wind_speed,air_quality_index,fuel_price_per_liter,population_density,safety_score,infrastructure_development,event_ongoing,toll_charges,driver_rating,public_transport_proximity,fare_amount,compute_capability,device_ram,hashed_user_id,local_fare_variance,accuracy_drift_score
13.009638,77.53724,27.9247,78.40102,11.2,3,2,5,0,38.0,38,1,12.1,16.0,23.5,78.5,8.2,2.7,123,103.55,42,6.7,8.5,0,0.0,4.5,6.22,1644.58,4.8,8,3297126552967928512,2.91,0.4
12.944976,77.581522,9.82564,78.25795,4.2,4,14,6,1,2.32,44,19,1.39,23.9,26.0,75.5,9.8,12.3,103,102.65,41,5.8,8.5,0,0.0,4.7,2.42,187.62,4.8,8,-3843796722169964629,0.56,0.33
12.947319,77.547338,30.81383,75.16878,9.8,1,7,5,0,9.0,36,4,3.4,10.1,27.5,73.6,8.5,1.2,117,103.6,30,7.3,8.5,0,19.6,4.0,1.6,535.29,2.4,4,-4460456525809113982,0.25,0.03
12.974189,77.649459,12.95629,78.27539,1.7,4,8,0,0,3.06,52,17,1.62,18.4,20.5,53.7,10.0,5.9,90,99.25,22,6.4,8.5,0,3.4,2.6,12.0,115.08,4.8,8,-96201518628904314,0.69,0.37
12.996444,77.620339,10.12268,77.54372,17.8,1,11,3,0,8.6,43,5,3.28,13.0,26.1,69.2,9.4,21.2,103,101.5,20,7.1,8.5,0,0.0,2.8,3.15,843.87,2.4,4,-3922133956246723190,0.99,0.57
13.035034,77.546716,21.53889,71.57737,20.3,3,7,6,1,36.0,36,1,11.5,15.8,30.7,71.8,6.7,1.5,69,108.7,34,6.7,8.5,0,40.6,3.6,4.04,2529.14,2.4,4,-9159022124900126570,5.01,0.1
12.964219,77.704096,9.57046,76.32756,18.2,1,12,0,0,1.96,47,24,1.29,15.4,19.2,83.2,1.9,15.4,99,100.15,23,6.2,8.5,0,0.0,4.8,6.96,523.89,4.8,8,-3643218598031002195,0.29,0.04
12.998047,77.622605,33.37526,74.3092,2.8,5,15,1,0,1.32,45,34,1.1,18.9,19.9,93.9,0.4,3.1,85,103.25,45,7.0,8.5,0,0.0,3.6,4.25,164.79,4.8,8,1121043417877493155,0.63,0.25
13.00216,77.571177,29.22254,79.5286,12.5,3,22,0,0,1.94,33,17,1.28,16.2,37.1,80.2,11.0,28.8,79,106.1,45,7.8,8.5,0,0.0,4.0,8.56,411.31,4.8,8,8902736479260750506,0.04,0.04
12.96258,77.57466,31.28092,74.85849,19.5,1,8,2,0,42.0,42,1,13.3,5.5,16.6,70.4,9.8,16.4,70,101.55,40,5.7,8.5,0,0.0,4.4,1.16,2883.91,1.2,2,57438970243822205,5.89,0.19
